Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Alluvial Soil,9.29,1247.8,Zaid,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Laterite Soil,20.21,1026.0,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,7.33,1245.3,Kharif,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,5.66,625.6,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,23.96,276.7,Rabi,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,0.72,1120.0,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,24.95,572.7,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,17.08,1023.3,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,20.8,442.4,Rabi,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Black Soil,7.72,167.8,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,0.85,1489.2,Zaid,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Alluvial Soil,18.58,276.5,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,20.94,1483.2,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,18.64,1467.1,Rabi,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,4.0,1201.0,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,18.96,1006.2,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,19.34,887.8,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,16.63,1305.8,Rabi,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,19.27,469.7,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,21.23,728.1,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,15.53,948.1,Kharif,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,2.67,646.2,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,12.45,669.9,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,2.4,528.9,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,10.48,868.1,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Laterite Soil,10.47,1283.3,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,2.12,342.2,Kharif,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,9.05,1404.9,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Black Soil,3.22,1049.2,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Alluvial Soil,20.3,1243.7,Kharif,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Very High
Laterite Soil,23.72,856.5,Rabi,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,High
Laterite Soil,2.27,1180.3,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,23.9,73.5,Rabi,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,13.3,1236.7,Rabi,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,7.84,108.2,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,2.38,1340.4,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,12.77,1488.3,Rabi,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,19.97,476.4,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Black Soil,17.82,355.0,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,1.73,1159.8,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Black Soil,2.29,416.9,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,10.37,1305.1,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Black Soil,7.73,199.1,Kharif,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,6.19,232.6,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Alluvial Soil,7.38,1469.8,Zaid,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,High
Black Soil,20.19,1027.1,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,23.27,1278.0,Zaid,Hybrid Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,10.43,520.3,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,22.7,1030.9,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,8.38,911.7,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,12.17,924.6,Rabi,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,6.04,1039.7,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,16.19,884.3,Zaid,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,High
Black Soil,24.49,672.1,Kharif,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,15.29,450.1,Kharif,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,9.27,1164.4,Rabi,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,16.37,378.1,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Low
Black Soil,3.51,1053.9,Zaid,Foundation Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,22.27,388.3,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Black Soil,12.83,956.7,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Black Soil,11.51,1133.3,Rabi,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,14.85,367.1,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,15.81,136.9,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,2.26,239.9,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,17.22,928.7,Kharif,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,6.43,1281.7,Rabi,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,17.99,115.2,Kharif,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,20.65,1114.5,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Chemical Fertilizers,High
Laterite Soil,20.2,544.9,Zaid,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,14.04,743.9,Kharif,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Black Soil,13.24,1396.8,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,4.0,531.4,Rabi,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,19.5,724.7,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,7.15,69.8,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,12.67,168.3,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,7.46,425.0,Zaid,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,3.78,90.4,Kharif,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Alluvial Soil,15.92,965.5,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,1.83,668.3,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,18.84,844.8,Zaid,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Black Soil,8.28,303.2,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,0.5,479.1,Kharif,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Black Soil,13.02,1012.5,Rabi,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,1.65,1449.7,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,7.27,123.1,Rabi,Breeder Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,17.82,1341.1,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Red and Yellow Soil,2.04,886.5,Zaid,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,21.06,867.7,Rabi,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,High
Black Soil,0.59,775.4,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,6.55,150.6,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,18.65,180.3,Kharif,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,8.25,921.3,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Black Soil,3.0,544.4,Rabi,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,9.33,1380.0,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,7.12,639.6,Kharif,Breeder Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,21.15,257.8,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,8.18,1086.3,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Laterite Soil,19.83,475.4,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,22.35,811.9,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,11.13,1061.9,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,22.79,1355.4,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,9.74,1198.7,Zaid,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,24.12,1030.7,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,2.69,1035.5,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,17.33,1421.6,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Black Soil,12.6,478.9,Rabi,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,10.0,51.6,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,16.0,444.3,Rabi,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,17.74,365.9,Zaid,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,0.61,1009.7,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,4.59,968.9,Kharif,Open-Pollinated Seeds,Manual,Canal Irrigation,Chemical Fertilizers,High
Alluvial Soil,17.97,910.5,Kharif,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,16.83,73.6,Rabi,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Laterite Soil,24.17,1106.7,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,19.15,519.1,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Red and Yellow Soil,23.79,1014.3,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,17.71,857.0,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,7.8,547.0,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,3.08,245.1,Rabi,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,19.65,186.9,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,16.28,1255.7,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,1.68,1381.7,Kharif,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,9.32,992.2,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,23.94,200.0,Kharif,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,12.76,632.9,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,11.1,1107.0,Kharif,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Laterite Soil,11.71,1180.7,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,5.62,221.4,Rabi,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,9.53,50.0,Kharif,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,9.56,1082.6,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Very High
Black Soil,1.78,567.1,Kharif,Breeder Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Alluvial Soil,19.31,419.0,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,10.7,68.7,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Black Soil,20.64,833.4,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Black Soil,21.33,1284.2,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,5.69,1438.6,Zaid,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,16.61,870.3,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,12.07,796.0,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Laterite Soil,22.06,173.3,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Black Soil,5.79,845.9,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,17.11,601.0,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,15.39,930.3,Rabi,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,7.73,613.7,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,3.85,398.4,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Low
Saline and Alkaline Soil,16.47,187.7,Rabi,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,18.6,506.6,Kharif,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,8.23,190.1,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,16.3,306.5,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,10.18,1481.6,Kharif,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,17.97,694.0,Kharif,Open-Pollinated Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,5.38,821.2,Kharif,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,22.31,1316.7,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,7.54,1493.6,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,9.51,894.9,Zaid,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Black Soil,1.92,1228.1,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,3.23,524.1,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,13.14,493.3,Zaid,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,7.06,633.9,Zaid,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,20.97,1025.1,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,0.86,1039.2,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,9.79,507.1,Zaid,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,8.76,243.2,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,0.97,967.0,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,High
