Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
No,38.23,Chandigarh,Chemical,No,291247.84,194738.43,Yes,No,PM Krishi Sinchayee Yojana
No,28.68,Uttarakhand,Chemical,Yes,322328.26,46127.73,No,Yes,Kisan Credit Card Subsidy
Yes,47.8,Delhi,Organic,Yes,282787.54,154574.79,No,No,Kisan Credit Card Subsidy
No,10.02,Jharkhand,Chemical,Yes,371764.8,67793.99,No,Yes,PM Krishi Sinchayee Yojana
Yes,5.46,Assam,Organic,No,174448.53,28616.28,No,Yes,Soil Health Card Scheme
No,42.7,Madhya Pradesh,Organic,Yes,384902.23,171577.84,No,Yes,Kisan Credit Card Subsidy
Yes,21.96,Uttarakhand,Bioinputs,No,222055.87,61772.18,Yes,Yes,NFSM
Yes,42.35,Assam,Bioinputs,No,247250.4,131771.08,Yes,No,Kisan Credit Card Subsidy
No,44.65,Chandigarh,Bioinputs,No,327570.04,113288.74,No,Yes,Kisan Credit Card Subsidy
Yes,3.12,Manipur,Organic,No,18995.61,94351.26,No,No,Soil Health Card Scheme
Yes,44.17,Meghalaya,Organic,Yes,330457.17,99163.89,Yes,Yes,NFSM
No,22.42,Delhi,Organic,No,313106.72,146447.58,No,Yes,PM Krishi Sinchayee Yojana
Yes,25.52,Madhya Pradesh,Chemical,No,161825.09,17554.58,Yes,No,NFSM
Yes,31.33,Mizoram,Organic,Yes,52039.2,133636.13,No,Yes,Soil Health Card Scheme
No,46.32,Assam,Bioinputs,No,54558.37,179162.42,Yes,Yes,Soil Health Card Scheme
No,0.96,Punjab,Bioinputs,No,462379.64,11557.64,No,No,PM Krishi Sinchayee Yojana
Yes,23.84,Karnataka,Organic,No,347746.87,28130.67,Yes,Yes,NFSM
Yes,34.39,Uttarakhand,Organic,Yes,72280.28,143326.39,No,No,NFSM
No,36.14,Rajasthan,Bioinputs,No,184794.35,87456.33,No,Yes,NFSM
No,34.63,Odisha,Organic,No,300316.67,80709.72,Yes,Yes,Kisan Credit Card Subsidy
Yes,6.72,Sikkim,Bioinputs,Yes,419430.14,27393.33,Yes,Yes,NFSM
No,14.97,Karnataka,Chemical,Yes,31393.86,101354.01,No,No,Kisan Credit Card Subsidy
Yes,17.94,Puducherry,Bioinputs,No,125950.23,25309.06,No,Yes,NFSM
Yes,40.22,Chandigarh,Chemical,No,445977.01,95324.09,Yes,Yes,NFSM
Yes,13.94,West Bengal,Organic,Yes,14491.12,152723.06,Yes,Yes,RKVY
Yes,10.54,Meghalaya,Organic,No,108685.56,51652.87,Yes,Yes,RKVY
Yes,47.87,Rajasthan,Chemical,Yes,479921.85,96157.23,No,Yes,Kisan Credit Card Subsidy
No,0.44,Assam,Organic,No,310566.9,198403.19,No,Yes,NFSM
No,49.89,Sikkim,Chemical,Yes,138218.97,137330.08,Yes,Yes,NFSM
No,33.84,Goa,Organic,No,42825.64,168271.35,No,Yes,NFSM
No,41.42,Chandigarh,Bioinputs,Yes,23813.76,82969.52,No,Yes,Soil Health Card Scheme
Yes,14.73,Maharashtra,Organic,Yes,129925.09,153572.18,Yes,No,Soil Health Card Scheme
Yes,0.72,Telangana,Bioinputs,Yes,441928.05,8101.83,No,Yes,NFSM
Yes,36.89,Nagaland,Bioinputs,Yes,213797.69,24582.24,Yes,No,PM Krishi Sinchayee Yojana
Yes,41.71,Mizoram,Chemical,Yes,362963.35,40614.12,Yes,No,Kisan Credit Card Subsidy
No,37.02,Bihar,Organic,No,459959.67,80390.38,No,No,PM Krishi Sinchayee Yojana
Yes,7.14,Tamil Nadu,Chemical,No,209939.83,169148.98,No,Yes,Kisan Credit Card Subsidy
Yes,37.67,Manipur,Organic,Yes,103725.91,69253.21,Yes,No,Soil Health Card Scheme
No,38.45,Karnataka,Bioinputs,No,263387.79,130924.24,Yes,No,PM Krishi Sinchayee Yojana
No,32.93,Uttar Pradesh,Bioinputs,No,454961.01,141862.86,Yes,No,PM Krishi Sinchayee Yojana
No,38.31,Assam,Organic,No,404143.46,117236.47,No,Yes,Kisan Credit Card Subsidy
No,42.3,Assam,Organic,No,42256.62,71448.39,Yes,No,Kisan Credit Card Subsidy
Yes,30.68,Meghalaya,Chemical,No,349360.67,115410.67,Yes,Yes,NFSM
Yes,4.43,Chhattisgarh,Organic,No,290229.79,68453.12,Yes,No,NFSM
No,24.38,Rajasthan,Organic,Yes,454656.96,16774.75,Yes,No,PM Krishi Sinchayee Yojana
Yes,3.88,Delhi,Organic,No,70015.89,198560.8,No,Yes,RKVY
Yes,20.38,Jharkhand,Chemical,No,271677.7,25436.49,No,Yes,Kisan Credit Card Subsidy
Yes,20.36,Odisha,Organic,No,440936.72,14469.68,Yes,No,Kisan Credit Card Subsidy
No,3.3,Tripura,Bioinputs,Yes,210911.66,175706.15,No,No,PM Krishi Sinchayee Yojana
